MTU, Time, Power, Cost, Voltage
MTU1,05/11/2015 19:53:48,4.013,0.61,122.5
MTU1,05/11/2015 19:53:47,4.024,0.61,122.6
MTU1,05/11/2015 19:53:46,4.022,0.61,122.7
MTU1,05/11/2015 19:53:45,4.010,0.61,122.6
MTU1,05/11/2015 19:53:44,4.005,0.61,122.5
MTU1,05/11/2015 19:53:43,4.013,0.61,122.5
MTU1,05/11/2015 19:53:42,4.024,0.61,122.6
MTU1,05/11/2015 19:53:41,4.024,0.61,122.6
MTU1,05/11/2015 19:53:40,4.016,0.61,122.6
MTU1,05/11/2015 19:53:39,4.011,0.61,122.5
MTU1,05/11/2015 19:53:38,4.013,0.61,122.5
MTU1,05/11/2015 19:53:37,4.013,0.61,122.5
MTU1,05/11/2015 19:53:36,4.017,0.61,122.5
MTU1,05/11/2015 19:53:37,4.017,0.61,122.5
MTU1,05/11/2015 19:53:36,4.023,0.61,122.6
MTU1,05/11/2015 19:53:35,4.020,0.61,122.6
MTU1,05/11/2015 19:53:34,4.015,0.61,122.5
MTU1,05/11/2015 19:53:44,4.015,0.61,122.5
MTU1,05/11/2015 19:53:34,4.015,0.61,122.5
MTU1,05/11/2015 19:53:33,4.007,0.61,122.4
MTU1,05/11/2015 19:53:32,4.010,0.61,122.4
MTU1,05/11/2015 19:53:31,4.022,0.61,122.5
MTU1,05/11/2015 19:53:30,4.022,0.61,122.6
MTU1,05/11/2015 19:53:29,4.017,0.61,122.6
MTU1,05/11/2015 19:53:28,4.007,0.61,122.5
MTU1,05/11/2015 19:53:27,4.008,0.61,122.4
MTU1,05/11/2015 19:53:26,4.020,0.61,122.5
MTU1,05/11/2015 19:53:25,4.027,0.61,122.6
MTU1,05/11/2015 19:53:24,4.020,0.61,122.6
MTU1,05/11/2015 19:53:23,4.012,0.61,122.5
MTU1,05/11/2015 19:53:22,4.010,0.61,122.4
MTU1,05/11/2015 19:53:21,4.008,0.61,122.4
MTU1,05/11/2015 19:53:20,4.019,0.61,122.5
MTU1,05/11/2015 19:53:19,4.027,0.61,122.6
MTU1,05/11/2015 19:53:18,4.020,0.61,122.6
MTU1,05/11/2015 19:53:17,4.012,0.61,122.5
MTU1,05/11/2015 19:53:16,4.013,0.61,122.5
MTU1,05/11/2015 19:53:15,4.018,0.61,122.5
MTU1,05/11/2015 19:53:14,4.018,0.61,122.5
MTU1,05/11/2015 19:53:16,4.018,0.61,122.5
MTU1,05/11/2015 19:53:14,4.024,0.61,122.5
MTU1,05/11/2015 19:53:13,4.024,0.61,122.5
MTU1,05/11/2015 19:53:21,4.024,0.61,122.5
MTU1,05/11/2015 19:53:13,4.027,0.61,122.6
MTU1,05/11/2015 19:53:12,4.024,0.61,122.6
MTU1,05/11/2015 19:53:11,4.015,0.61,122.5
MTU1,05/11/2015 19:53:10,4.012,0.61,122.4
MTU1,05/11/2015 19:53:09,4.020,0.61,122.5
MTU1,05/11/2015 19:53:08,4.025,0.61,122.5
MTU1,05/11/2015 19:53:07,4.025,0.61,122.6
MTU1,05/11/2015 19:53:06,4.025,0.61,122.6
MTU1,05/11/2015 19:53:05,4.016,0.61,122.5
MTU1,05/11/2015 19:53:07,4.016,0.61,122.5
MTU1,05/11/2015 19:53:05,4.009,0.61,122.4
MTU1,05/11/2015 19:53:04,4.009,0.61,122.4
MTU1,05/11/2015 19:53:06,4.009,0.61,122.4
MTU1,05/11/2015 19:53:04,4.015,0.61,122.4
MTU1,05/11/2015 19:53:03,4.020,0.61,122.4
MTU1,05/11/2015 19:53:02,4.024,0.61,122.5
MTU1,05/11/2015 19:53:01,4.021,0.61,122.5
MTU1,05/11/2015 19:53:00,4.018,0.61,122.5
MTU1,05/11/2015 19:52:59,4.015,0.61,122.4
MTU1,05/11/2015 19:52:58,4.014,0.61,122.4
MTU1,05/11/2015 19:52:57,4.025,0.61,122.5
MTU1,05/11/2015 19:52:56,4.025,0.61,122.5
MTU1,05/11/2015 19:52:55,4.024,0.61,122.5
MTU1,05/11/2015 19:52:54,4.016,0.61,122.5
MTU1,05/11/2015 19:52:53,4.016,0.61,122.5
MTU1,05/11/2015 19:53:01,4.016,0.61,122.5
MTU1,05/11/2015 19:52:53,4.011,0.61,122.4
MTU1,05/11/2015 19:52:52,4.014,0.61,122.4
MTU1,05/11/2015 19:52:51,4.019,0.61,122.4
MTU1,05/11/2015 19:52:50,4.023,0.61,122.5
MTU1,05/11/2015 19:52:49,4.026,0.61,122.6
MTU1,05/11/2015 19:52:48,4.022,0.61,122.5
MTU1,05/11/2015 19:52:47,4.018,0.61,122.5
MTU1,05/11/2015 19:52:46,4.009,0.61,122.3
MTU1,05/11/2015 19:52:45,4.013,0.61,122.4
MTU1,05/11/2015 19:52:44,4.020,0.61,122.5
MTU1,05/11/2015 19:52:43,4.025,0.61,122.6
